AirportName,AirportName,Month,Count
Belfast International Airport,Manchester Airport,January,3080
Belfast International Airport,Manchester Airport,February,2361
Belfast International Airport,Manchester Airport,March,2981
Belfast International Airport,Manchester Airport,April,2318
Belfast International Airport,Manchester Airport,May,1987
Belfast International Airport,Manchester Airport,June,3628
Belfast International Airport,Manchester Airport,July,4235
Belfast International Airport,Manchester Airport,August,3897
Belfast International Airport,Manchester Airport,September,2997
Belfast International Airport,Manchester Airport,October,2861
Belfast International Airport,Manchester Airport,November,2415
Belfast International Airport,Manchester Airport,December,3761
